id,serial,pub,class,refclass
7367641,Advances in Mathematics,2021,"['03E17', '03E35', '03E05']","['03-01', '03-01', '03-01', '03-02', '03-02', '03-02', '03E04', '03E04', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E05', '03E10', '03E15', '03E15', '03E15', '03E15', '03E15', '03E15', '03E15', '03E15', '03E15', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E17', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E35', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E40', '03E45', '03E45', '03E45', '03E50', '03E50', '03E50', '03E50', '03E50', '03E50', '03E50', '03E55', '03E55', '03E55', '03E65', '03E65', '03E70', '03E75', '03E75', '03Exx', '03Exx', '05C05', '05C55', '05D10', '22A05', '22A05', '26A21', '28A05', '28A05', '28A05', '28A78', '37F20', '40A05', '54-02', '54A20', '54A20', '54A25', '54B20', '54D20', '54D20', '54D55', '54D80', '54E35', '54E35', '54F45', '54H05', '54H05', '54H11', '91A44']"
7367642,Advances in Mathematics,2021,"['13H10', '13C14', '13D09']","['13-02', '13A02', '13A02', '13B35', '13C11', '13C14', '13C15', '13C15', '13C15', '13C15', '13C40', '13D02', '13D03', '13D03', '13D03', '13D03', '13D05', '13D07', '13D09', '13D25', '13D25', '13D25', '13D25', '13D25', '13D25', '13D25', '13D45', '13D45', '13D45', '13H05', '13H10', '13H10', '13H10', '13H10', '13H10', '13N15', '16D50', '16E10', '16E35', '16E45', '16E45', '16E45', '16E45', '16E45', '16E45', '16E65', '18E25', '18E30', '18G80']"
7367643,Advances in Mathematics,2021,"['13D07', '13A50', '13C40', '14M12', '13A30']","['05E05', '05E10', '05E10', '13-01', '13-02', '13-03', '13A15', '13A50', '13A50', '13A50', '13Axx', '13C05', '13C15', '13C40', '13Cxx', '13D02', '13D02', '13D02', '14-01', '14-02', '14-02', '14Axx', '14E15', '14Exx', '14F05', '14Fxx', '14Hxx', '14Jxx', '14L30', '14M12', '14M12', '14M12', '14M12', '14Nxx', '16G20', '20G05']"
7367644,Advances in Mathematics,2021,"['35P30', '35A23', '35B09', '35J25', '35J92', '52A40']","['26B15', '26B20', '26B25', '26D07', '26D07', '26D10', '26D10', '26D10', '26D10', '26D10', '26D10', '26D15', '26D20', '26D20', '28-01', '28A75', '28A75', '28A78', '33C55', '34B16', '35-02', '35-02', '35A23', '35B05', '35B30', '35B37', '35B45', '35B45', '35B45', '35B50', '35B65', '35B65', '35B65', '35D05', '35D05', '35D10', '35D10', '35G20', '35H99', '35J05', '35J05', '35J05', '35J10', '35J15', '35J20', '35J20', '35J20', '35J20', '35J20', '35J20', '35J20', '35J25', '35J60', '35J60', '35J60', '35J60', '35J60', '35J62', '35J65', '35J65', '35J65', '35J67', '35J70', '35J70', '35J70', '35J70', '35J70', '35J70', '35J99', '35P05', '35P15', '35P15', '35P15', '35P15', '35P15', '35P30', '35P30', '35P30', '46B07', '46B20', '46B20', '46E30', '46E30', '46E30', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E35', '46E39', '46E99', '49-XX', '49J20', '49J40', '49J52', '49K20', '49K99', '49Q10', '49Q10', '49Q10', '49Q15', '49Q20', '49Q20', '49R05', '49R05', '49R50', '49R50', '49R50', '49R50', '51M16', '52-01', '52-02', '52-02', '52A05', '52A10', '52A20', '52A20', '52A20', '52A20', '52A20', '52A20', '52A20', '52A21', '52A21', '52A21', '52A21', '52A21', '52A22', '52A23', '52A38', '52A38', '52A38', '52A38', '52A39', '52A39', '52A39', '52A39', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '53C65', '58E05', '74B10']"
7367645,Advances in Mathematics,2021,"['57T10', '20C30', '22E15']","['05-02', '05-02', '05A15', '05A16', '05E10', '06A07', '13C60', '14-02', '14M15', '17B20', '17B40', '18G10', '19B14', '20-02', '20-02', '20C30', '20C30', '20C33', '20F34', '20F36', '20F55', '20F55', '20F55', '20G05', '20G05', '20G10', '20G20', '20H15', '20J05', '20J06', '20J06', '20J06', '22-02', '22C05', '22E15', '22E15', '22E15', '22E45', '22E46', '22E46', '22E70', '22E99', '22E99', '51F15', '55M05', '55N10', '55P42', '55P47', '55P48', '55P91', '55P99', '55P99', '55Q05', '55Q10', '55Q52', '55R35', '55R40', '55R40', '55R80', '55R80', '55R80', '57M05', '57M07', '57N05', '57R15', '57R19', '57R20', '57R50', '57R50', '57R56', '57R90', '57S05', '57T10', '57T10', '81T13', '81T30', '81T60', '81T60']"
7367646,Advances in Mathematics,2021,"['26B25', '26A51', '26D15']","['26A51', '26A51', '26A51', '26B25', '26B25', '26D07', '26D10', '26D10', '26D10', '26D15', '26D15', '26D15', '26D15', '26D15', '26D15', '26D15', '26D20', '26D20', '28A10', '28A75', '28A75', '28A75', '28A75', '28A99', '28C20', '28C20', '33C55', '39B62', '39B62', '39B62', '39B82', '46B20', '46E30', '46E35', '46E35', '46E35', '46E35', '47J20', '47N10', '49J40', '49J40', '49Q20', '49Q20', '49Q20', '49Q20', '52-02', '52-02', '52A20', '52A20', '52A20', '52A20', '52A20', '52A20', '52A20', '52A20', '52A22', '52A22', '52A22', '52A23', '52A38', '52A38', '52A38', '52A39', '52A39', '52A39', '52A39', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '52A40', '53C21', '53C24', '58E35', '58E99', '60B10', '60B10', '60D05', '60E15', '60E15', '60E15', '60E15', '60F05', '60H07', '60J22', '65C05', '65C10', '65C40', '68W20', '68W25', '90C15', '90C15', '90C15', '90C25', '97H30']"
7367647,Advances in Mathematics,2021,"['14N35', '14D23', '53D45']","['14A20', '14C17', '14C25', '14D23', '14D23', '14H10', '14H10', '14H10', '14H10', '14J32', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '32Q25', '32Q65', '53C08', '53D45', '53D45', '53D45', '57R17', '57R57']"
7367648,Advances in Mathematics,2021,"['14G35', '11G10', '14K15', '14K10', '11G18', '11E41']","['11-02', '11-02', '11E20', '11E41', '11E41', '11E41', '11F06', '11F41', '11F41', '11F41', '11F46', '11F60', '11F70', '11G10', '11G10', '11G10', '11G10', '11G10', '11G10', '11G15', '11G18', '11G18', '11G18', '11G18', '11G25', '11R29', '11R52', '11R52', '11R52', '11R52', '11R58', '11R58', '11R58', '11S45', '12-02', '14-02', '14-02', '14-02', '14B05', '14B05', '14D20', '14D20', '14D22', '14F30', '14F30', '14G15', '14G15', '14G15', '14G20', '14G35', '14G35', '14G35', '14G35', '14H05', '14H10', '14H10', '14H20', '14H20', '14H25', '14H40', '14H40', '14H45', '14H45', '14H52', '14J15', '14J28', '14J32', '14J35', '14J50', '14K05', '14K10', '14K10', '14K10', '14K10', '14K12', '14K15', '14K15', '14K15', '14K15', '14L05', '14L05', '14L05', '14L30', '14L30', '14M17', '32G20']"
7367649,Advances in Mathematics,2021,"['52A22', '52A40', '53C65', '60D05']","['01-02', '41A55', '41A63', '44A10', '46B04', '46B06', '46B07', '46B20', '52-02', '52-02', '52A20', '52A20', '52A20', '52A20', '52A20', '52A22', '52A22', '52A22', '52A23', '52A38', '52A40', '52A40', '52Bxx', '53C65', '53C65', '60-02', '60D05', '60D05', '60D05', '60D05', '60D05', '60D05', '60D05', '60D05', '60D05', '60D05', '60D05', '60G55', '62M30', '65D32']"
7367650,Advances in Mathematics,2021,"['18E13', '55U35', '20F38', '57K20']","['01A65', '01A67', '03-01', '03-02', '03E99', '03G30', '14-02', '14-03', '14A20', '14A20', '14D20', '14F20', '14G32', '14H10', '14H30', '14H30', '16-02', '16D90', '16E40', '16E40', '16E40', '16E40', '16E40', '16H05', '16S37', '16T', '16T05', '16T05', '16T05', '16T05', '16W30', '16W30', '16W30', '16W30', '16W30', '16W30', '16W30', '17-02', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B63', '17B67', '17B69', '17B69', '18-01', '18-02', '18-02', '18-02', '18-02', '18-02', '18-02', '18A30', '18A30', '18B25', '18B25', '18B30', '18D10', '18D10', '18D10', '18D10', '18D10', '18D10', '18D10', '18D10', '18D10', '18D10', '18D10', '18D20', '18D20', '18D20', '18D30', '18D35', '18D35', '18D50', '18E10', '18E10', '18E10', '18E10', '18E10', '18E10', '18E30', '18E30', '18E35', '18E99', '18F20', '18F20', '18F25', '18F25', '18G30', '18G30', '18G55', '18G55', '18G55', '18G55', '18G60', '18M', '18M05', '18M15', '18M15', '18M15', '18M20', '18N10', '18N10', '18N40', '18N60', '18N65', '19D55', '19D55', '20F28', '20F34', '20F34', '20F65', '20G42', '20J05', '20J06', '20L05', '30F20', '46L37', '46L60', '46L89', '53C15', '53C80', '54B40', '55-02', '55P47', '55P48', '55P60', '55P60', '55U10', '55U35', '55U35', '55U35', '55U40', '57-02', '57-02', '57-02', '57-02', '57M05', '57M20', '57M25', '57M25', '57M25', '57M25', '57M27', '57M99', '57M99', '57M99', '57M99', '57N05', '57N05', '57N05', '57N05', '57N10', '57N10', '57N10', '57N10', '57N10', '57N10', '57N13', '57N99', '57R20', '57R50', '57R55', '57R56', '57R56', '57R56', '57R56', '57R56', '57R56', '57R56', '57S05', '57T05', '58D30', '58E50', '81-02', '81P40', '81R05', '81R10', '81R10', '81R15', '81R50', '81R50', '81R50', '81R50', '81R50', '81T05', '81T05', '81T13', '81T13', '81T25', '81T40', '81T40', '81T40', '81T40', '81T40', '81T40', '81T40', '81T40', '81T40', '81T45', '81T45', '81T70', '81T99', '81T99']"
7367651,Advances in Mathematics,2021,"['43A85', '42C05', '33C45', '35P10']","['22E25', '22E25', '22E30', '22E30', '22E30', '22E46', '26A33', '26E10', '26E10', '30D55', '31A05', '33C05', '33C45', '33C45', '33C55', '33C67', '35P10', '37A99', '41-02', '41A10', '41A60', '41A63', '42-01', '42A10', '42A38', '42A38', '42B08', '42B10', '42B15', '42B35', '42C10', '42C10', '42C10', '43-02', '43A07', '43A07', '43A20', '43A25', '43A30', '43A80', '43A80', '43A80', '43A85', '43A85', '43A85', '43A85', '43A90', '44A12', '44A15', '44A60', '45P05', '46E30', '46E30', '46J15', '46M35', '47B25', '47D03', '47G10', '53-02', '53C20', '53C35', '53C35', '53C35', '58E20', '58J05']"
