id,serial,pub,class,refclass
7154870,Advances in Mathematics,2020,"['35Q83', '35A01', '35B35', '35B40', '35Q31', '76P05', '35Q20']","['35A01', '35A05', '35A35', '35B35', '35B35', '35B35', '35B35', '35B35', '35B35', '35B35', '35B35', '35B36', '35B40', '35B40', '35B40', '35B40', '35B40', '35B40', '35B40', '35C05', '35D05', '35F10', '35F20', '35F20', '35F20', '35L05', '35L60', '35L65', '35L65', '35L67', '35L70', '35Q20', '35Q20', '35Q20', '35Q20', '35Q20', '35Q20', '35Q30', '35Q30', '35Q31', '35Q35', '35Q35', '35Q35', '35Q35', '35Q61', '35Q72', '35Q72', '35Q83', '35Q83', '35Q83', '35Q83', '35Q83', '35Q83', '35Q83', '35Q83', '35Q84', '35Q84', '45K05', '45K05', '45K05', '45M05', '76A02', '76E17', '76E30', '76E30', '76L05', '76L05', '76M45', '76N10', '76N15', '76N15', '76N15', '76N20', '76N99', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76P05', '76W05', '76X05', '76Y05', '78A35', '78A35', '82-02', '82B40', '82B40', '82B40', '82B40', '82C21', '82C31', '82C40', '82C40', '82C40', '82C40', '82C40', '82C40', '82C40', '82C40', '82C40', '82D05', '82D05', '82D05', '82D10', '82D10', '82D10', '82D10', '82D10', '82D10', '82D10', '82D10']"
7154871,Advances in Mathematics,2020,"['58D27', '53C07']","['14A20', '14D20', '14D20', '14D21', '14D21', '14D21', '14D21', '14F05', '14F05', '14F05', '14F10', '14H10', '14J32', '14J32', '14J32', '14J35', '14J60', '14J80', '14N35', '14N35', '14Q99', '18D05', '18E30', '18F25', '18N10', '19L50', '19L99', '22E46', '30F10', '32F99', '32G13', '32G13', '32G15', '32G81', '32L05', '32Q15', '32Q25', '32Q25', '32Q60', '32Q65', '34G20', '35R01', '53-02', '53-02', '53-02', '53B50', '53C05', '53C05', '53C05', '53C07', '53C07', '53C07', '53C07', '53C07', '53C07', '53C07', '53C07', '53C07', '53C07', '53C07', '53C07', '53C07', '53C10', '53C10', '53C21', '53C25', '53C25', '53C25', '53C25', '53C25', '53C25', '53C27', '53C27', '53C27', '53C27', '53C29', '53C29', '53C38', '53C38', '53C38', '53C38', '53C38', '53C38', '53C55', '53C80', '53C80', '53D05', '53D30', '53D30', '53D37', '53D37', '53D40', '55-01', '55-01', '55-02', '55-02', '55-02', '55M05', '55N10', '55N15', '55N20', '55N20', '55N22', '55N22', '55N99', '55Nxx', '55P35', '55P35', '55P65', '55P99', '55Pxx', '55Q50', '55Qxx', '55R10', '55R35', '55R35', '55R50', '55Rxx', '55Rxx', '55S05', '55S10', '55S20', '55S25', '55Txx', '55U40', '57-01', '57-01', '57-02', '57-02', '57-02', '57-02', '57-02', '57-02', '57M27', '57M27', '57M27', '57M50', '57M50', '57N10', '57N10', '57N13', '57N13', '57N13', '57N13', '57N13', '57N15', '57N55', '57N65', '57Q05', '57Qxx', '57R10', '57R15', '57R15', '57R15', '57R18', '57R19', '57R20', '57R20', '57R20', '57R55', '57R56', '57R57', '57R57', '57R57', '57R57', '57R57', '57R57', '57R58', '57R65', '57R75', '57R80', '57Rxx', '57T05', '58D27', '58D27', '58D27', '58D27', '58D27', '58D27', '58D27', '58D27', '58E05', '58E15', '58E15', '58J05', '58J05', '58J05', '58J05', '58J10', '58J10', '58J10', '58J20', '58J20', '58J20', '58J28', '58J30', '58J35', '58J52', '58J60', '58J99', '58J99', '81T08', '81T08', '81T08', '81T13', '81T13', '81T13', '81T13', '81T13', '81T13', '81T13', '81T13', '81T40', '81T45', '81T45', '81T60', '81T60', '81T60']"
7154872,Advances in Mathematics,2020,"['47A10', '47B65', '47B38', '47D06', '46E30', '46B08', '46B20']","['06F20', '06F30', '15B48', '15B51', '20M30', '26E35', '34-02', '34A12', '34A25', '34G10', '34G10', '34G10', '34G10', '34K30', '34K30', '34K35', '35-02', '35B40', '35G10', '35K25', '35K30', '35P05', '35P15', '37A30', '37A30', '37A30', '37C30', '44-02', '44A10', '45C05', '45K05', '46-01', '46-02', '46-02', '46A35', '46A40', '46A40', '46A40', '46B10', '46B42', '46B42', '46B42', '46B42', '46B42', '46B42', '46B99', '46B99', '46E05', '46E05', '46E15', '46E30', '46E30', '46E30', '46E30', '46E30', '46F12', '46G12', '46H05', '46L55', '46L55', '46M10', '47-01', '47-02', '47-02', '47-02', '47-02', '47-02', '47-02', '47-02', '47A10', '47A10', '47A10', '47A10', '47A10', '47A10', '47A10', '47A10', '47A10', '47A10', '47A10', '47A35', '47A35', '47A35', '47A35', '47A35', '47A35', '47A35', '47A40', '47A53', '47A53', '47A55', '47A55', '47A55', '47A56', '47A68', '47B06', '47B06', '47B07', '47B07', '47B07', '47B10', '47B15', '47B15', '47B15', '47B25', '47B25', '47B34', '47B34', '47B34', '47B34', '47B35', '47B60', '47B60', '47B60', '47B60', '47B60', '47B65', '47B65', '47B65', '47B65', '47B65', '47B65', '47B65', '47B65', '47B65', '47B65', '47B99', '47B99', '47C15', '47D03', '47D03', '47D03', '47D03', '47D03', '47D03', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D06', '47D07', '47D07', '47D07', '47D07', '47D07', '47D08', '47F05', '47L05', '47N30', '58J50', '60E15', '60F10', '60J05', '60J25', '60J25', '60J25', '60J35', '60J35', '60J75', '60J75', '82D60', '92C20', '92C37', '92C42', '92D25', '93D20']"
7154873,Advances in Mathematics,2020,"['35B27', '35B40', '35K15']","['35B05', '35B05', '35B25', '35B25', '35B25', '35B25', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B27', '35B30', '35B30', '35B30', '35B40', '35B40', '35B45', '35B45', '35B45', '35B50', '35B50', '35B65', '35B65', '35B65', '35C20', '35C20', '35C20', '35D05', '35D10', '35D40', '35D40', '35D40', '35F20', '35F21', '35J25', '35J25', '35J25', '35J25', '35J57', '35J58', '35J60', '35J60', '35J60', '35J60', '35J60', '35J60', '35K10', '35K15', '35K15', '35K15', '35K20', '35K45', '35K55', '35K55', '35K55', '35K55', '35K55', '35K55', '35K55', '35K55', '35K55', '35K59', '35K59', '35K60', '35K65', '35K65', '35K65', '35K65', '35Q61', '35R60', '35R60', '41A60', '49L20', '49L25', '49L25', '49L25', '49L25', '49L25', '49L25', '49N70', '60H30', '65M60', '74A40', '74E30', '74H10', '74J10', '74Q05', '74Q10', '74Q10', '74S05', '78A25', '78A48', '78M40']"
7154874,Advances in Mathematics,2020,"['16S88', '19K35']","['05C25', '05C25', '13D15', '13D15', '13F20', '14C35', '15A21', '16-02', '16-02', '16D40', '16D50', '16D70', '16D70', '16D70', '16D70', '16D70', '16D70', '16E20', '16E20', '16E20', '16E20', '16E50', '16E50', '16E50', '16E50', '16G20', '16G20', '16G20', '16G20', '16G20', '16G20', '16G20', '16P10', '16S34', '16S50', '16S50', '16S50', '16S88', '16S88', '16S88', '16S88', '16S88', '16U70', '18F25', '18F25', '18F25', '18F25', '19-01', '19-01', '19-02', '19-02', '19A49', '19D35', '19D55', '19D55', '19K14', '19K35', '19K56', '19Kxx', '19L99', '20E06', '20J06', '35N15', '46-01', '46L05', '46L05', '46L05', '46L05', '46L05', '46L35', '46L40', '46L40', '46L55', '46L55', '46L80', '46L80', '46L80', '46L80', '54H20', '55-02', '55N15', '55N20']"
7154875,Advances in Mathematics,2020,"['46B06', '46B03', '46B25', '46B45']","['05C63', '05D10', '05D10', '05D10', '46-00', '46-02', '46-02', '46A40', '46A45', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B03', '46B06', '46B06', '46B06', '46B06', '46B06', '46B06', '46B07', '46B07', '46B07', '46B10', '46B10', '46B10', '46B10', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B15', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B20', '46B25', '46B25', '46B25', '46B25', '46B25', '46B25', '46B26', '46B28', '46B45', '46B45', '46B45', '46B45', '46B80', '46B85', '46B99', '46E15', '47A05', '47A15', '47A15', '47A15', '47A15', '47A15', '47B07', '47L05', '54H05']"
7154876,Advances in Mathematics,2020,"['76D03', '76B03', '35Q30', '35Q31']","['15A18', '34B16', '34B24', '34E15', '35-02', '35B30', '35B35', '35B35', '35B35', '35B35', '35B35', '35B40', '35B40', '35B40', '35B40', '35B40', '35B40', '35B44', '35B44', '35B65', '35B65', '35C06', '35H10', '35H10', '35K15', '35K55', '35K57', '35K58', '35K65', '35K67', '35K90', '35P05', '35P15', '35Q30', '35Q30', '35Q30', '35Q30', '35Q30', '35Q30', '35Q30', '35Q30', '35Q30', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q35', '35Q35', '35Q35', '35Q35', '35Q83', '35Q92', '35S05', '35S05', '37L15', '37L25', '47A10', '47F05', '47F05', '47N60', '58J35', '65F15', '65N35', '76B03', '76B15', '76B47', '76D05', '76D05', '76D05', '76D05', '76D05', '76D05', '76D05', '76D05', '76D05', '76D17', '76D17', '76E05', '76E05', '76E05', '76E05', '76E05', '76E05', '76E05', '76E05', '76E06', '76E06', '76E20', '76E30', '76E99', '76F05', '76F20', '76F99', '76M22', '76M25', '82D10', '92C17']"
7167258,Advances in Mathematics,2020,"['15A75', '14M15', '15A66']","['00-01', '00A05', '00B25', '05B35', '14H45', '14N10', '15-01', '15-06', '15A69', '15A75', '17-01', '17B10', '17B20', '17B45', '20-01', '20B30', '20G05', '20G05', '22-01', '22E46', '22E60', '22E60', '51Nxx', '53-01', '53Axx', '58A05', '68-06', '83A05']"
7167259,Advances in Mathematics,2020,"['11D41', '11R37', '11J86']","['11-01', '11-02', '11-02', '11-02', '11-02', '11B39', '11D25', '11D41', '11D41', '11D41', '11D41', '11D41', '11D41', '11D41', '11D41', '11D41', '11D57', '11D59', '11D75', '11E57', '11F03', '11F03', '11F03', '11F06', '11F11', '11F41', '11F75', '11F80', '11F80', '11F80', '11F80', '11F80', '11G05', '11G05', '11G05', '11G05', '11G05', '11G07', '11G30', '11Gxx', '11J86', '11R04', '11R11', '11R16', '11R18', '11R20', '11R21', '11R23', '11R23', '11R27', '11R27', '11R27', '11R29', '11R29', '11R29', '11R29', '11R29', '11R29', '11R32', '11R32', '11R37', '11R37', '11R37', '11R37', '11R42', '11R45', '11R45', '11Y16', '11Y16', '11Y40', '11Y40', '11Y40', '11Y50', '11Y50', '12F10', '12F12', '14-02', '14G05', '14G10', '14G40', '14H52', '14H52', '20E07', '20F05', '20H10', '30F35', '68W10', '68W30', '68W30']"
7167260,Advances in Mathematics,2020,"['57K14', '13F60', '11A55']","['05C25', '05C70', '05E15', '11A55', '11A55', '13F60', '13F60', '13F60', '13F60', '14M15', '14M15', '16G20', '16G20', '16S34', '16S50', '16S50', '17B20', '17B20', '20G05', '20G05', '22E46', '30B70', '52B12', '57K14', '57M25', '57M25', '57M25', '57N10', '57N10']"
7167261,Advances in Mathematics,2020,"['53D05', '57R17', '55N99']","['53D05', '53D05', '53D20', '53D40', '55N91', '55N91', '57R17', '57R85', '57S25']"
7167262,Advances in Mathematics,2020,"['51F99', '57S20', '57S25', '57N20', '54B20', '54C55']","['00A05', '20-01', '20C15', '20D10', '20D20', '20Dxx', '30C65', '46B04', '46B99', '46B99', '51-01', '51-01', '51F99', '51K05', '51K99', '52-01', '52A20', '52A20', '53-02', '53C20', '53C21', '53C22', '53C45', '53C70', '54-01', '54-01', '54-01', '54B20', '54B20', '54B20', '54B20', '54C55', '54C55', '54C55', '54C55', '54C55', '54C55', '54C55', '54C55', '54C55', '54C55', '54C56', '54E35', '54F45', '54F45', '54H15', '54H15', '54H15', '54H15', '55-01', '55M15', '55P05', '55P55', '55P91', '55P91', '55P99', '57-01', '57-01', '57-01', '57-02', '57-02', '57N20', '57N20', '57N20', '57N20', '57N20', '57N20', '57N20', '57N20', '57N25', '57N65', '57Q10', '57Q15', '57Q25', '57Q55', '57S10', '57S10', '57S10', '57S10', '57S15', '58A17', '58A30', '58B05', '70F25']"
7167263,Advances in Mathematics,2020,"['16S50', '20C30', '16R10', '16R30']","['05A15', '05A17', '05A17', '05E05', '05E10', '05E10', '05E10', '05E10', '13A30', '14L24', '14N99', '15A15', '15A24', '15A72', '15A72', '15A72', '15A75', '15A75', '15A75', '15A75', '15A75', '16R10', '16R10', '16R10', '16R10', '16R20', '16R30', '16R30', '16R30', '16R30', '16R40', '16Rxx', '16Rxx', '16S34', '16S50', '16S50', '16S50', '16S50', '16U99', '16W50', '16W55', '16W55', '17A70', '17B10', '17B10', '17B60', '17B99', '19A22', '20-02', '20-XX', '20C25', '20C25', '20C30', '20C30', '20C30', '20C30', '20C30', '20C30', '20C30', '20C30', '20C30', '20C35', '20G05', '20G05', '20G05', '20G40', '33B15', '41A60']"
7167264,Advances in Mathematics,2020,"['28A78', '53C17']","['14P15', '14P15', '22E25', '22E25', '22E25', '22E25', '22E25', '22E30', '22E30', '22E30', '22E30', '26-02', '26B10', '26B12', '26E05', '26E10', '28A12', '28A15', '28A33', '28A33', '28A75', '28A75', '28A75', '28A75', '28A75', '28A75', '28A75', '28A75', '28A75', '28A75', '28A75', '28A78', '28A78', '28A78', '28C10', '28C15', '31E05', '32C05', '42B20', '42B25', '42B30', '43A30', '46E30', '47F05', '49-01', '49Q05', '49Q05', '49Q15', '49Q15', '49Q15', '49Q15', '49Q15', '49Q15', '49Q15', '49Q15', '49Q15', '49Q15', '49Q20', '53-02', '53-02', '53A07', '53C15', '53C17', '53C17', '53C17', '53C17', '53C17', '53C17', '53C17', '53C17', '53C17', '53C17', '53C17', '53C17', '53C22', '53C22', '53C40', '53C42', '53C42', '58A15', '58A17', '58A25', '58C35']"
7167265,Advances in Mathematics,2020,"['37F35', '37F10', '37F46']","['11K16', '28A78', '28A80', '28D05', '28D05', '28D05', '28D20', '30-01', '30-02', '30-02', '30C99', '30C99', '30C99', '30Cxx', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30D05', '30F40', '37-01', '37-02', '37-02', '37A99', '37A99', '37A99', '37B99', '37C25', '37C45', '37C70', '37C70', '37D20', '37D35', '37D35', '37D45', '37D99', '37E05', '37E10', '37E20', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F10', '37F15', '37F30', '37F30', '37F30', '37F35', '37F35', '37F35', '37F35', '37F35', '37F35', '37F35', '37F35', '37F35', '37F45', '37F45', '37F45', '37F45', '37F50', '37F50', '37F50', '37F50', '37F99', '37F99', '37G99', '37G99', '37J40', '37M99', '54F45', '60F05']"
7167266,Advances in Mathematics,2020,"['20G42', '46L52', '16T20']","['00A05', '00A08', '00A09', '03D40', '05-01', '08Axx', '11-01', '15-01', '15B52', '16-02', '16D70', '16E40', '16E40', '16E40', '16S40', '16T05', '16T05', '16T05', '16T05', '16T05', '16T05', '16T05', '16T05', '16T20', '16T20', '16Txx', '16W30', '16W30', '16W35', '17B35', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '17B37', '18D10', '18D10', '18G20', '18G60', '19K14', '20F65', '20F65', '20G42', '20G42', '20G42', '20G42', '20G42', '20G42', '22D10', '22D25', '22D25', '22D25', '22D25', '26-01', '28A75', '43A07', '43A07', '43A65', '46-02', '46-02', '46-02', '46-02', '46H25', '46L05', '46L05', '46L06', '46L09', '46L09', '46L09', '46L09', '46L10', '46L10', '46L10', '46L10', '46L10', '46L35', '46L35', '46L35', '46L37', '46L37', '46L37', '46L37', '46L51', '46L53', '46L53', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L54', '46L55', '46L55', '46L55', '46L65', '46L65', '46L65', '46L65', '46L65', '46L65', '46L65', '46L65', '46L65', '46L65', '46L65', '46L80', '46L85', '46L89', '46L89', '46L89', '46L89', '46L89', '46L89', '46L89', '46L89', '46L89', '46L89', '46L89', '46L89', '46L89', '46M15', '47B80', '51-01', '52-01', '52C17', '53C30', '57T05', '58B32', '58H05', '58H05', '58Z05', '60B20', '60F10', '60H25', '81R50', '81R50', '81R50', '81R50', '81R50', '81R50', '94A17', '97A20', '97A80']"
7167267,Advances in Mathematics,2020,"['20N05', '05E30', '05E10', '18D15', '20C15', '20N20']","['00A05', '03G30', '03G30', '05B07', '05B15', '05B15', '05B15', '05B15', '05B25', '05B30', '05C25', '05C25', '05C25', '05E10', '05E18', '05E30', '05E30', '05E30', '06-02', '06C20', '06D50', '06E15', '06F05', '08-01', '08B15', '11-02', '11R33', '11R42', '11R65', '13M99', '16H05', '16P10', '16W30', '17-01', '17-02', '17B37', '17D92', '18-01', '18-02', '18A15', '18A99', '18B25', '18B30', '18C15', '18C20', '18D10', '18D15', '18D15', '19A22', '19A31', '20-01', '20-01', '20-02', '20B25', '20C05', '20C15', '20C15', '20C15', '20C15', '20C99', '20D20', '20D20', '20N05', '20N05', '20N05', '20N05', '20N05', '20N05', '20N05', '20N05', '20N05', '20N20', '33C45', '33C55', '51E99', '54-02', '54B20', '54D30', '58B32', '81T40', '92-02', '92D10', '92D10', '92D10', '92D15']"
7167268,Advances in Mathematics,2020,"['22E50', '11F70', '11F27', '22E45', '20G20']","['11F27', '11F27', '11F27', '11F27', '11F27', '11F27', '11F27', '11F27', '11F27', '11F27', '11F46', '11F66', '11F70', '11F70', '11F70', '11F70', '11F70', '11F70', '11F70', '11F70', '11F70', '11F70', '11F70', '11F70', '11F75', '11F85', '11R39', '11R39', '11R39', '11S37', '11S37', '11S99', '17B35', '20G05', '20G05', '20G25', '20H15', '22-02', '22E15', '22E30', '22E30', '22E30', '22E35', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E45', '22E46', '22E46', '22E46', '22E46', '22E46', '22E46', '22E47', '22E47', '22E47', '22E47', '22E47', '22E47', '22E47', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E50', '22E55', '22E55', '22E55', '22E55', '32M15', '33C60', '33C80', '37J99', '43A32', '43A65', '43A80', '43A85', '57T10']"
7167269,Advances in Mathematics,2020,"['17B69', '17B65']","['05A19', '11F22', '11P84', '17-02', '17-02', '17-02', '17-02', '17B10', '17B10', '17B10', '17B37', '17B37', '17B65', '17B65', '17B65', '17B65', '17B65', '17B65', '17B65', '17B67', '17B67', '17B67', '17B67', '17B67', '17B67', '17B67', '17B67', '17B68', '17B68', '17B68', '17B68', '17B68', '17B68', '17B68', '17B68', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B70', '20D08', '20D08', '46L85', '46L87', '81R10', '81R10', '81R10', '81R50', '81R50', '81T40', '81T40', '81T40', '81T40']"
7167270,Advances in Mathematics,2020,"['03E55', '05C75', '18B99']","['03C55', '03E05', '03E10', '03E35', '03E35', '03E55', '03E55', '03E55', '03E55', '03E55', '03E55', '03E65', '03G30', '18-02', '18A40', '18B15', '18C05', '18C10']"
7167271,Advances in Mathematics,2020,"['53A07', '26B35', '58D10', '53C21']","['32C07', '34A60', '35A01', '35A02', '35B10', '35B65', '35D30', '35D30', '35D30', '35D30', '35D30', '35D30', '35F20', '35F60', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q31', '35Q35', '35Q35', '35Q35', '53A07', '53A99', '53B20', '53C20', '53C21', '53C23', '53C23', '53C23', '53C24', '53C24', '53C42', '53C45', '53C45', '57R40', '58-02', '58B20', '58D10', '58D99', '58J60', '76B03', '76B03', '76B03', '76B03', '76B03', '76B03', '76B03', '76B99', '76D05', '76F02', '76F02', '76F02', '76F02', '76F05']"
7167272,Advances in Mathematics,2020,"['14J32', '14J33']","['11E16', '11F11', '11G40', '11H06', '14-02', '14A20', '14A20', '14A20', '14A20', '14A20', '14A20', '14B10', '14E15', '14E15', '14E15', '14E15', '14E16', '14E18', '14E18', '14F05', '14F08', '14F25', '14F25', '14F40', '14G10', '14H10', '14H10', '14H30', '14H30', '14H37', '14H52', '14J10', '14J10', '14J25', '14J28', '14J28', '14J28', '14J28', '14J28', '14J28', '14J28', '14J30', '14J32', '14J32', '14J32', '14J32', '14J32', '14J32', '14J32', '14J33', '14J33', '14J33', '14J33', '14J33', '14J33', '14J33', '14J33', '14J35', '14J50', '14J50', '14L30', '14M25', '14N35', '14N35', '14N35', '14N35', '14N35', '17B69', '18G80', '18N10', '19A22', '22E40', '32-02', '32G81', '32J17', '32Q25', '32S25', '32S25', '32S25', '32S30', '32S30', '32S35', '32S40', '32S55', '32S55', '32S60', '51F15', '53C15', '53D37', '53D45', '53D45', '53D45', '55-02', '55N32', '55N91', '57-02', '57N65', '57N80', '57Q10', '57R18', '57R18', '57R19', '57R45', '58C25', '58J20', '58J26', '58J90', '58K99', '81T30', '81T40', '81T40', '83E30', '83E50']"
7167273,Advances in Mathematics,2020,"['13C05', '13G05']","['03B40', '03D25', '03D60', '03E10', '03E72', '03E72', '03E99', '03F52', '03F52', '03G10', '03G30', '03G30', '03G30', '05-01', '05-01', '05-02', '05A17', '05A18', '05B05', '05B05', '05B05', '05B07', '05B15', '05B35', '05B35', '05B35', '05B35', '05B35', '05C05', '05C05', '05C05', '05C10', '05C10', '05C15', '05C25', '05C50', '05C50', '05C65', '05C65', '05C65', '05C65', '05C65', '05C70', '05C75', '05C75', '05D05', '05D05', '05D05', '05E30', '05E40', '05E45', '06A06', '06A07', '06A11', '06A15', '06B10', '06B23', '06C10', '06D05', '06D05', '06D75', '06E05', '06E10', '06F05', '06F30', '08A02', '08A02', '08A05', '08A99', '13C14', '13C14', '13D05', '13D10', '13D25', '13D40', '13F20', '13F55', '13F55', '13F55', '13H10', '13H10', '14H05', '14H50', '14R10', '15A03', '16E40', '16S85', '16Y99', '16Y99', '18-01', '18A10', '18A35', '18A40', '18A40', '18A40', '18B15', '18B99', '18C50', '18D05', '18D15', '18D15', '18D20', '18D20', '18F20', '18G30', '18G30', '18G30', '20C15', '20D10', '20D60', '20E07', '20E34', '20E34', '20F18', '20F28', '20K99', '20K99', '20N02', '20N15', '20N15', '20N15', '20N20', '20N20', '20N20', '20N20', '20N20', '20N20', '32A18', '32H50', '32H99', '37B15', '37E15', '37E15', '37F10', '37F10', '46A55', '51D99', '51E10', '51M20', '52-02', '52A01', '52A01', '52A01', '52A35', '54-02', '54A05', '54A05', '54A05', '54A25', '54B20', '54C65', '54F35', '54F45', '54H25', '54H99', '55M99', '55N10', '55N99', '55U05', '55U10', '55U10', '55U10', '57Q99', '62H30', '62K10', '68N01', '68Q06', '68Q55', '68Q55', '68Q65', '68R10', '68R10', '68R10', '68R10', '68R15', '68T05', '68T30', '68T37', '68T37', '68T37', '68T37', '68T37', '68T37', '91C20', '91C20', '92D15', '92D15', '94C10']"
7167274,Advances in Mathematics,2020,"['05E05', '14N15', '14M15']","['05-02', '05-02', '05-02', '05-02', '05A05', '05A05', '05A15', '05A15', '05A15', '05A15', '05A15', '05A16', '05A17', '05A17', '05A17', '05A18', '05A19', '05A19', '05C05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E05', '05E10', '05E10', '05E10', '05E10', '05E10', '05E10', '05E10', '05E10', '05E10', '05E10', '05E15', '05E15', '05E35', '05E35', '06A06', '06A07', '06A07', '06D99', '14-02', '14M15', '14M15', '14M15', '14M15', '14M15', '14M15', '14M15', '14N15', '14N15', '14N15', '15A15', '15A18', '15A23', '15B48', '15B48', '15B52', '15B57', '16T05', '16T30', '19E08', '20-02', '20-02', '20-02', '20B30', '20B30', '20C07', '20C25', '20C25', '20C30', '20C30', '20C30', '20C30', '20C30', '20C30', '20C32', '20C32', '20C32', '20C32', '20C33', '20P05', '22D10', '22E45', '33C80', '43A05', '60B12', '60C05', '60C05', '60C05', '60G50', '60G55', '60K35', '60K35', '62L20', '65F05', '81R50', '82B41']"
7167275,Advances in Mathematics,2020,"['32A37', '42B20', '44A15']","['05B35', '22E70', '30-02', '30-02', '30C62', '30D50', '30D55', '30D55', '30D55', '30H05', '30H20', '30H20', '30H20', '30H20', '31A05', '31C25', '32A37', '35K05', '35S05', '42-01', '42-02', '42-02', '42A38', '42A38', '42A38', '42B10', '42B10', '42B10', '42B10', '42B20', '42B20', '42B20', '42B20', '42B25', '42B30', '42B30', '42C15', '42C40', '43-02', '43-02', '43-02', '43A80', '43A85', '44A15', '44A15', '45E10', '45P05', '46E20', '46E22', '46E22', '46E30', '46J15', '46J15', '46L05', '46M20', '46M35', '47A20', '47A60', '47B06', '47B32', '47B32', '47B33', '47B35', '47B35', '47B35', '47B35', '47B35', '47B35', '47B35', '47B35', '47B35', '47B37', '47B38', '47B38', '47B38', '47B47', '47F05', '47G10', '47G10', '47Gxx', '60G42', '81-02', '81S05', '94-02', '94A12']"
7167276,Advances in Mathematics,2020,"['53C55', '53C25']","['12Y05', '14J80', '14L24', '14M25', '14M25', '14M25', '14M25', '14M25', '14M25', '14M25', '30C15', '32J15', '32Q15', '32Q15', '32Q15', '32Q20', '32Q20', '32Q20', '32Q25', '32Q25', '32W20', '35B45', '35B65', '35B65', '35G20', '35J60', '35J60', '51-02', '53-02', '53C21', '53C21', '53C21', '53C25', '53C25', '53C25', '53C25', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53C55', '53D05', '58-02', '65H05']"
7167277,Advances in Mathematics,2020,"['18N65', '18N10', '55U35', '55U40']","['14-02', '14A20', '14F05', '18-02', '18-02', '18A05', '18B25', '18C15', '18D05', '18D05', '18D05', '18D05', '18D05', '18D05', '18D05', '18D05', '18D20', '18D20', '18D20', '18D30', '18D50', '18Dxx', '18E35', '18F20', '18G30', '18G30', '18G30', '18G30', '18G30', '18G30', '18G30', '18G30', '18G55', '18G55', '18G55', '18G55', '18G55', '18G55', '18G55', '18G55', '18G55', '18G55', '55P20', '55P48', '55U10', '55U10', '55U10', '55U10', '55U10', '55U35', '55U35', '55U35', '55U35', '55U35', '55U40', '55U40']"
7167278,Advances in Mathematics,2020,"['52B70', '53A05']","['01A75', '05C10', '05C62', '52B40', '52C25', '70C20']"
